player_name,nationality,is_retired,backed_up_at
GC Tonge,West Indies,,2026-04-23T13:39:47Z
GC Viljoen,South Africa,,2026-04-23T13:39:47Z
GC Wilson,Ireland,,2026-04-23T13:39:47Z
GD Elliott,New Zealand,,2026-04-23T13:39:47Z
GD McGrath,Australia,,2026-04-23T13:39:47Z
GD Phillips,New Zealand,,2026-04-23T13:39:47Z
GF Linde,South Africa,,2026-04-23T13:39:47Z
GH Dockrell,Ireland,,2026-04-23T13:39:47Z
GH Vihari,India,,2026-04-23T13:39:47Z
GI Hume,Ireland,,2026-04-23T13:39:47Z
GJ Bailey,Australia,,2026-04-23T13:39:47Z
GJ Batty,England,,2026-04-23T13:39:47Z
GJ Hopkins,New Zealand,,2026-04-23T13:39:47Z
GJ Maxwell,Australia,,2026-04-23T13:39:47Z
GM Ewing,,,2026-04-23T13:39:47Z
GO Jones,England,,2026-04-23T13:39:47Z
GP Swann,England,,2026-04-23T13:39:47Z
GP Thorpe,England,,2026-04-23T13:39:47Z
GS Ballance,England,,2026-04-23T13:39:47Z
GS Dinusha,,,2026-04-23T13:39:47Z
H Hameed,England,,2026-04-23T13:39:47Z
H Kala,India,,2026-04-23T13:39:47Z
H Kaur,India,,2026-04-23T13:39:47Z
H Klaasen,South Africa,,2026-04-23T13:39:47Z
H Masakadza,Zimbabwe,,2026-04-23T13:39:47Z
Habibul Bashar,Bangladesh,,2026-04-23T13:39:47Z
Hannan Sarkar,Bangladesh,,2026-04-23T13:39:47Z
HAPW Jayawardene,Sri Lanka,,2026-04-23T13:39:47Z
Harbhajan Singh,India,,2026-04-23T13:39:47Z
Haris Rauf,Pakistan,,2026-04-23T13:39:47Z
Haris Sohail,Pakistan,,2026-04-23T13:39:47Z
Harshit Rana,India,,2026-04-23T13:39:47Z
Hasan Ali,Pakistan,,2026-04-23T13:39:47Z
Hasan Mahmud,Bangladesh,,2026-04-23T13:39:47Z
Hasan Murad,,,2026-04-23T13:39:47Z
Hasan Raza,Pakistan,,2026-04-23T13:39:47Z
HC Brook,England,,2026-04-23T13:39:47Z
HC Knight,England,,2026-04-23T13:39:47Z
HD Rutherford,New Zealand,,2026-04-23T13:39:47Z
HDPK Dharmasena,,,2026-04-23T13:39:47Z
HDRL Thirimanne,Sri Lanka,,2026-04-23T13:39:47Z
HE van der Dussen,South Africa,,2026-04-23T13:39:47Z
HG Kuhn,South Africa,,2026-04-23T13:39:47Z
HH Dippenaar,South Africa,,2026-04-23T13:39:47Z
HH Gibbs,South Africa,,2026-04-23T13:39:47Z
HH Pandya,India,,2026-04-23T13:39:47Z
HH Streak,Zimbabwe,,2026-04-23T13:39:47Z
HJH Marshall,New Zealand,,2026-04-23T13:39:47Z
HK Bennett,New Zealand,,2026-04-23T13:39:47Z
HL Colvin,England,,2026-04-23T13:39:47Z
HL Ferling,Australia,,2026-04-23T13:39:47Z
HM Amla,South Africa,,2026-04-23T13:39:47Z
HM Nicholls,New Zealand,,2026-04-23T13:39:47Z
HMCM Bandara,Sri Lanka,,2026-04-23T13:39:47Z
HMRKB Herath,Sri Lanka,,2026-04-23T13:39:47Z
HP Tillakaratne,Sri Lanka,,2026-04-23T13:39:47Z
HT Tector,Ireland,,2026-04-23T13:39:47Z
HWR Cartwright,Australia,,2026-04-23T13:39:47Z
I Kaia,Zimbabwe,,2026-04-23T13:39:47Z
I Khan,Pakistan,,2026-04-23T13:39:47Z
I Sharma,India,,2026-04-23T13:39:47Z
ID Blackwell,England,,2026-04-23T13:39:47Z
IDR Bradshaw,West Indies,,2026-04-23T13:39:47Z
IE O'Brien,New Zealand,,2026-04-23T13:39:47Z
IECM Wong,,,2026-04-23T13:39:47Z
Iftikhar Ahmed,Pakistan,,2026-04-23T13:39:47Z
Iftikhar Anjum,Pakistan,,2026-04-23T13:39:47Z
IG Butler,New Zealand,,2026-04-23T13:39:47Z
IJL Trott,England,,2026-04-23T13:39:47Z
IK Pathan,India,,2026-04-23T13:39:47Z
Imam-ul-Haq,Pakistan,,2026-04-23T13:39:47Z
Imran Butt,Pakistan,,2026-04-23T13:39:47Z
Imran Farhat,Pakistan,,2026-04-23T13:39:47Z
Imran Khan,Pakistan,,2026-04-23T13:39:47Z
Imran Tahir,South Africa,,2026-04-23T13:39:47Z
Imrul Kayes,Bangladesh,,2026-04-23T13:39:47Z
Inzamam-ul-Haq,Pakistan,,2026-04-23T13:39:47Z
IR Bell,England,,2026-04-23T13:39:47Z
IS Sodhi,New Zealand,,2026-04-23T13:39:47Z
Ishan Kishan,India,,2026-04-23T13:39:47Z
IT Guha,England,,2026-04-23T13:39:47Z
J Blackwood,West Indies,,2026-04-23T13:39:47Z
J Botha,South Africa,,2026-04-23T13:39:47Z
J Campbell,West Indies,,2026-04-23T13:39:47Z
J Da Silva,West Indies,,2026-04-23T13:39:47Z
J Goswami,India,,2026-04-23T13:39:47Z
J Gumbie,Zimbabwe,,2026-04-23T13:39:47Z
J Hayes,,,2026-04-23T13:39:47Z
J Hull,,,2026-04-23T13:39:47Z
J Layne,,,2026-04-23T13:39:47Z
J Lewis,,,2026-04-23T13:39:47Z
J Mubarak,Sri Lanka,,2026-04-23T13:39:47Z
J Neill,null,,2026-04-23T13:39:47Z
J Nyumbu,Zimbabwe,,2026-04-23T13:39:47Z
J Overton,England,,2026-04-23T13:39:47Z
J Smit,Namibia,,2026-04-23T13:39:47Z
J Srinath,India,,2026-04-23T13:39:47Z
J Weatherald,Australia,,2026-04-23T13:39:47Z
J Yadav,India,,2026-04-23T13:39:47Z
JA Burns,Australia,,2026-04-23T13:39:47Z
JA Duffy,New Zealand,,2026-04-23T13:39:47Z
JA McCollum,Ireland,,2026-04-23T13:39:47Z
JA Morkel,South Africa,,2026-04-23T13:39:47Z
JA Raval,New Zealand,,2026-04-23T13:39:47Z
JA Richardson,Australia,,2026-04-23T13:39:47Z
JA Rudolph,South Africa,,2026-04-23T13:39:47Z
JA Warrican,West Indies,,2026-04-23T13:39:47Z
JAH Marshall,New Zealand,,2026-04-23T13:39:47Z
Jahurul Islam,Bangladesh,,2026-04-23T13:39:47Z
Jaker Ali,,,2026-04-23T13:39:47Z
James Bracey,England,,2026-04-23T13:39:47Z
Javed Omar,Bangladesh,,2026-04-23T13:39:47Z
JC Archer,England,,2026-04-23T13:39:47Z
JC Buttler,England,,2026-04-23T13:39:47Z
JC Price,,,2026-04-23T13:39:47Z
JC Tongue,England,,2026-04-23T13:39:47Z
JC Tredwell,England,,2026-04-23T13:39:47Z
JD Campbell,West Indies,,2026-04-23T13:39:47Z
JD Ryder,New Zealand,,2026-04-23T13:39:47Z
JD Unadkat,India,,2026-04-23T13:39:47Z
JDF Vandersay,Sri Lanka,,2026-04-23T13:39:47Z
JDP Oram,New Zealand,,2026-04-23T13:39:47Z
JDS Neesham,New Zealand,,2026-04-23T13:39:47Z
JE Cameron,Australia,,2026-04-23T13:39:47Z
JE Root,England,,2026-04-23T13:39:47Z
JE Taylor,West Indies,,2026-04-23T13:39:47Z
JEC Franklin,New Zealand,,2026-04-23T13:39:47Z
JG Bethell,England,,2026-04-23T13:39:47Z
JH Kallis,South Africa,,2026-04-23T13:39:47Z
JI Rodrigues,India,,2026-04-23T13:39:47Z
JJ Bumrah,India,,2026-04-23T13:39:47Z
JJ Krejza,Australia,,2026-04-23T13:39:47Z
JJ Roy,England,,2026-04-23T13:39:47Z
JJC Lawson,West Indies,,2026-04-23T13:39:47Z
JK Silva,Sri Lanka,,2026-04-23T13:39:47Z
JL Denly,England,,2026-04-23T13:39:47Z
JL Gunn,England,,2026-04-23T13:39:47Z
